variant_id,family,side,trade_count,fill_count,profit_factor,hit_rate,mean_trade_return_bps,median_trade_return_bps,walk_forward_pass_rate,gate_passed
long_reversal_3m_thr0p004_hold2_v1,long_reversal_3m,long,302,604,0.44106287289982876,0.2847682119205298,-8.811437467314452,-10.605438327702768,0.0,False
long_reversal_3m_thr0p004_hold3_v1,long_reversal_3m,long,301,602,0.5049408580739919,0.3222591362126246,-7.9746872455669005,-10.605438327701679,0.0,False
long_reversal_3m_thr0p004_hold5_v1,long_reversal_3m,long,298,596,0.5788920127036028,0.39932885906040266,-7.97817146179476,-8.602373048429172,0.0,False
long_reversal_3m_thr0p004_hold10_v1,long_reversal_3m,long,289,578,0.7410349327385003,0.43944636678200694,-5.405381215757332,-8.481613183823466,0.0,False
long_reversal_3m_thr0p004_hold15_v1,long_reversal_3m,long,282,564,0.8267774809373996,0.475177304964539,-3.354850512708419,-3.033920189986366,0.0,False
long_reversal_3m_thr0p005_hold2_v1,long_reversal_3m,long,136,272,0.4799019527635248,0.3088235294117647,-9.853406155407633,-10.605438327702755,0.0,False
long_reversal_3m_thr0p005_hold3_v1,long_reversal_3m,long,135,270,0.564887230924609,0.362962962962963,-7.98460385714415,-10.605438327702192,0.0,False
long_reversal_3m_thr0p005_hold5_v1,long_reversal_3m,long,134,268,0.641847575130258,0.41044776119402987,-8.916306160147315,-8.602373048429172,0.0,False
long_reversal_3m_thr0p005_hold10_v1,long_reversal_3m,long,130,260,0.7973760158722316,0.4153846153846154,-6.271388767717914,-8.61116519697382,0.0,False
long_reversal_3m_thr0p005_hold15_v1,long_reversal_3m,long,127,254,0.907710241715906,0.49606299212598426,-4.157134404067848,-2.12191593880028,0.3333333333333333,False
long_reversal_3m_thr0p0075_hold2_v1,long_reversal_3m,long,21,42,0.2524349331258589,0.19047619047619047,-18.260465001330296,-11.414567085394697,0.0,False
long_reversal_3m_thr0p0075_hold3_v1,long_reversal_3m,long,20,40,0.5651114529362316,0.45,-9.685624478387473,-3.3233787019615013,0.0,False
long_reversal_3m_thr0p0075_hold5_v1,long_reversal_3m,long,20,40,0.49767475602565064,0.45,-15.266246071844172,-6.825718249307662,0.0,False
long_reversal_3m_thr0p0075_hold10_v1,long_reversal_3m,long,19,38,0.5515170994703297,0.47368421052631576,-13.97446080575078,-6.25734953747356,0.0,False
long_reversal_3m_thr0p0075_hold15_v1,long_reversal_3m,long,19,38,0.6339385801016355,0.47368421052631576,-15.688758799466365,-22.704938081937385,0.0,False
short_reversal_3m_thr0p0015_hold2_v1,short_reversal_3m,short,2956,5912,0.2680816832824474,0.2087280108254398,-8.827079559190972,-10.574519827751836,0.0,False
short_reversal_3m_thr0p0015_hold3_v1,short_reversal_3m,short,2927,5854,0.30845689772554086,0.23539460198155107,-8.872101445399062,-10.497613038530282,0.0,False
short_reversal_3m_thr0p0015_hold5_v1,short_reversal_3m,short,2843,5686,0.38057726161992494,0.27717200140696446,-8.408942636302244,-10.223155278965942,0.0,False
short_reversal_3m_thr0p0015_hold10_v1,short_reversal_3m,short,2619,5238,0.4582113390158454,0.32646048109965636,-8.26408654072974,-9.528379515402282,0.0,False
short_reversal_3m_thr0p0015_hold15_v1,short_reversal_3m,short,2447,4894,0.5017827881115523,0.34859011033919085,-8.290442520765481,-9.251986791396227,0.0,False
short_reversal_3m_thr0p002_hold2_v1,short_reversal_3m,short,2202,4404,0.295198551133084,0.21798365122615804,-8.672365447633815,-10.564184750949874,0.0,False
short_reversal_3m_thr0p002_hold3_v1,short_reversal_3m,short,2188,4376,0.33118330877294583,0.2426873857404022,-8.713771207122663,-10.499030594220304,0.0,False
short_reversal_3m_thr0p002_hold5_v1,short_reversal_3m,short,2135,4270,0.4199418324668987,0.2857142857142857,-7.918252230585039,-10.223132724770725,0.0,False
short_reversal_3m_thr0p002_hold10_v1,short_reversal_3m,short,2002,4004,0.4991315551169628,0.33166833166833165,-7.575307938036858,-9.34022006226861,0.0,False
short_reversal_3m_thr0p002_hold15_v1,short_reversal_3m,short,1889,3778,0.5423198595078006,0.35044997353096874,-7.415333425226963,-9.241432550838978,0.0,False
short_reversal_3m_thr0p003_hold2_v1,short_reversal_3m,short,1060,2120,0.3141188305942698,0.22452830188679246,-8.891672958357368,-10.583436448930655,0.0,False
short_reversal_3m_thr0p003_hold3_v1,short_reversal_3m,short,1054,2108,0.3428525302417376,0.2381404174573055,-9.194256889499114,-10.548990411122542,0.0,False
short_reversal_3m_thr0p003_hold5_v1,short_reversal_3m,short,1038,2076,0.4681980230098279,0.3044315992292871,-7.708575217994722,-10.272574079073786,0.0,False
short_reversal_3m_thr0p003_hold10_v1,short_reversal_3m,short,993,1986,0.49228847274954335,0.337361530715005,-8.451296586786667,-9.48649445601943,0.0,False
short_reversal_3m_thr0p003_hold15_v1,short_reversal_3m,short,959,1918,0.5560383031713726,0.3607924921793535,-7.869763790795082,-9.520799086064548,0.0,False
short_reversal_3m_thr0p004_hold2_v1,short_reversal_3m,short,386,772,0.33954832884390734,0.266839378238342,-9.277392666583857,-10.580121946259002,0.0,False
short_reversal_3m_thr0p004_hold3_v1,short_reversal_3m,short,385,770,0.36013118084570156,0.2727272727272727,-9.82658831242826,-10.604320951981668,0.0,False
short_reversal_3m_thr0p004_hold5_v1,short_reversal_3m,short,380,760,0.5695048016391905,0.3526315789473684,-7.057412811197042,-10.40363832352918,0.0,False
short_reversal_3m_thr0p004_hold10_v1,short_reversal_3m,short,369,738,0.5423969752731783,0.36314363143631434,-8.282025479029206,-9.79104239496828,0.0,False
short_reversal_3m_thr0p004_hold15_v1,short_reversal_3m,short,363,726,0.6021759560701764,0.3774104683195592,-8.02794740470319,-10.456153474034378,0.0,False
short_reversal_3m_thr0p005_hold2_v1,short_reversal_3m,short,150,300,0.5734239692542237,0.36,-6.265881614930881,-9.99851588642984,0.0,False
short_reversal_3m_thr0p005_hold3_v1,short_reversal_3m,short,149,298,0.47892129921376836,0.3422818791946309,-9.639920365826,-10.534055598677122,0.0,False
short_reversal_3m_thr0p005_hold5_v1,short_reversal_3m,short,148,296,0.5850845251171379,0.38513513513513514,-8.118685995368798,-10.579659458356062,0.0,False
short_reversal_3m_thr0p005_hold10_v1,short_reversal_3m,short,143,286,0.5495060617671252,0.36363636363636365,-9.125899290171235,-9.83826067718934,0.0,False
short_reversal_3m_thr0p005_hold15_v1,short_reversal_3m,short,140,280,0.6480094201109057,0.37142857142857144,-7.540724169293395,-10.75911387895905,0.25,False
short_reversal_3m_thr0p0075_hold2_v1,short_reversal_3m,short,22,44,0.8900402205697752,0.5909090909090909,-1.6345864740911522,5.73544767231995,0.0,False
short_reversal_3m_thr0p0075_hold3_v1,short_reversal_3m,short,22,44,0.7101036831653617,0.45454545454545453,-3.8207400216278407,-5.8344121472867405,0.0,False
short_reversal_3m_thr0p0075_hold5_v1,short_reversal_3m,short,22,44,0.4162399449125709,0.3181818181818182,-17.729204166257187,-21.519842096474232,0.0,False
short_reversal_3m_thr0p0075_hold10_v1,short_reversal_3m,short,22,44,0.3774548917115853,0.4090909090909091,-23.8119113672368,-26.834471234137535,0.0,False
short_reversal_3m_thr0p0075_hold15_v1,short_reversal_3m,short,22,44,0.6091806950015723,0.4090909090909091,-15.650579476205277,-16.37522853604193,0.0,False
long_momentum_3m_thr0p0015_hold2_v1,long_momentum_3m,long,5747,11494,0.16855663708157062,0.15834348355663824,-11.120181440969551,-10.605438327703924,0.0,False
long_momentum_3m_thr0p0015_hold3_v1,long_momentum_3m,long,5526,11052,0.19893619671969479,0.18982989504162143,-11.186073062630262,-10.605438327704599,0.0,False
long_momentum_3m_thr0p0015_hold5_v1,long_momentum_3m,long,5028,10056,0.22897369617611418,0.21320604614160701,-11.521651322584113,-10.69001791949903,0.0,False
long_momentum_3m_thr0p0015_hold10_v1,long_momentum_3m,long,4168,8336,0.2863814108125237,0.24832053742802304,-12.063824117316274,-11.32902273226414,0.0,False
long_momentum_3m_thr0p0015_hold15_v1,long_momentum_3m,long,3650,7300,0.335204602230433,0.27972602739726027,-11.99891394721609,-11.770569244043683,0.0,False
long_momentum_3m_thr0p002_hold2_v1,long_momentum_3m,long,4366,8732,0.18616975421112125,0.1651397159871736,-11.282493881522704,-10.605438327704091,0.0,False
long_momentum_3m_thr0p002_hold3_v1,long_momentum_3m,long,4231,8462,0.2152619838671956,0.19782557315055543,-11.518802339226395,-10.605438327705857,0.0,False
long_momentum_3m_thr0p002_hold5_v1,long_momentum_3m,long,3897,7794,0.23408221932380444,0.21093148575827558,-11.919433282150685,-10.717353806762464,0.0,False
long_momentum_3m_thr0p002_hold10_v1,long_momentum_3m,long,3285,6570,0.29340352908022777,0.25205479452054796,-12.401079162048964,-11.399721628129235,0.0,False
long_momentum_3m_thr0p002_hold15_v1,long_momentum_3m,long,2902,5804,0.3409167994186318,0.2780840799448656,-12.427784457976678,-11.784154947200857,0.0,False
long_momentum_3m_thr0p003_hold2_v1,long_momentum_3m,long,2335,4670,0.22205247870314665,0.1922912205567452,-11.424752303673039,-10.605438327704148,0.0,False
long_momentum_3m_thr0p003_hold3_v1,long_momentum_3m,long,2279,4558,0.25006874949623403,0.2150065818341378,-11.8125208604139,-10.617791995796333,0.0,False
long_momentum_3m_thr0p003_hold5_v1,long_momentum_3m,long,2134,4268,0.2698936452021336,0.23149015932521086,-12.163066455848778,-10.766432736282084,0.0,False
long_momentum_3m_thr0p003_hold10_v1,long_momentum_3m,long,1869,3738,0.33697385671401586,0.2637774210807919,-12.387115125672342,-11.301443088657164,0.0,False
long_momentum_3m_thr0p003_hold15_v1,long_momentum_3m,long,1686,3372,0.38937014287161636,0.2912218268090154,-12.13400768556683,-11.559272002581158,0.0,False
long_momentum_3m_thr0p004_hold2_v1,long_momentum_3m,long,1041,2082,0.3108130021596352,0.24495677233429394,-10.22569531933772,-10.605438327703856,0.0,False
long_momentum_3m_thr0p004_hold3_v1,long_momentum_3m,long,1010,2020,0.3225412782569608,0.24752475247524752,-10.773396673155666,-10.605438327704864,0.0,False
long_momentum_3m_thr0p004_hold5_v1,long_momentum_3m,long,951,1902,0.3475284970307306,0.2744479495268139,-11.505769379603423,-10.724176427940641,0.0,False
long_momentum_3m_thr0p004_hold10_v1,long_momentum_3m,long,862,1724,0.44095903360178557,0.32018561484918795,-10.931109021475578,-11.349685434489832,0.0,False
long_momentum_3m_thr0p004_hold15_v1,long_momentum_3m,long,803,1606,0.47762608859045763,0.3449564134495641,-11.213336660153601,-10.903932013650547,0.16666666666666666,False
long_momentum_3m_thr0p005_hold2_v1,long_momentum_3m,long,512,1024,0.3396752293053694,0.28125,-10.45763833829045,-10.605438327704316,0.0,False
long_momentum_3m_thr0p005_hold3_v1,long_momentum_3m,long,496,992,0.36979026113080343,0.28830645161290325,-10.576174425478213,-10.611182155329855,0.0,False
long_momentum_3m_thr0p005_hold5_v1,long_momentum_3m,long,471,942,0.4045784302866335,0.31422505307855625,-10.847783878714665,-10.60543832770486,0.0,False
long_momentum_3m_thr0p005_hold10_v1,long_momentum_3m,long,437,874,0.4732749933553331,0.34096109839816935,-11.46908218140637,-12.281742609858563,0.0,False
long_momentum_3m_thr0p005_hold15_v1,long_momentum_3m,long,412,824,0.503112914361675,0.3567961165048544,-12.16718721349076,-13.043526084963492,0.2,False
long_momentum_3m_thr0p0075_hold2_v1,long_momentum_3m,long,98,196,0.3605435434264301,0.30612244897959184,-12.389713752069861,-10.636632056246984,0.0,False
long_momentum_3m_thr0p0075_hold3_v1,long_momentum_3m,long,98,196,0.3580673290989601,0.3163265306122449,-13.56449780081033,-10.695051873376759,0.0,False
