run_id,strategy_id,trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,fees,slippage,holding_bars,holding_hours,attribution_source,funding_event_count,funding_pnl,net_pnl_before_funding,net_pnl_after_funding
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00011,BTCUSDT,long,2024-04-07T16:00:00+00:00,2024-04-09T16:00:00+00:00,70013.94,68649.3,0.2,-101.630281,-101.630281,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-101.630281,-101.630281
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00012,BTCUSDT,long,2024-04-30T00:00:00+00:00,2024-05-02T00:00:00+00:00,64545.08,57801.4,0.2,-1421.43563,-1421.43563,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-1421.43563,-1421.43563
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00013,BTCUSDT,long,2024-05-13T07:00:00+00:00,2024-05-15T07:00:00+00:00,62318.42,62201.63,0.2,-55.191164,-55.191164,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-55.191164,-55.191164
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00014,BTCUSDT,long,2024-05-15T19:00:00+00:00,2024-05-17T19:00:00+00:00,65999.61,66924.49,0.2,258.928961,258.928961,0.0,0.0,48,48.0,ledger_equity_segments,0,0,258.928961,258.928961
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00015,BTCUSDT,long,2024-05-20T16:00:00+00:00,2024-05-22T16:00:00+00:00,68181.8,70272.97,0.2,552.326136,552.326136,0.0,0.0,48,48.0,ledger_equity_segments,0,0,552.326136,552.326136
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00016,BTCUSDT,long,2024-05-27T15:00:00+00:00,2024-05-29T15:00:00+00:00,70396.79,67400.59,0.2,-808.348378,-808.348378,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-808.348378,-808.348378
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00017,BTCUSDT,long,2024-05-30T17:00:00+00:00,2024-06-01T17:00:00+00:00,69359.29,67846.69,0.2,-336.510528,-336.510528,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-336.510528,-336.510528
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00018,BTCUSDT,long,2024-06-03T01:00:00+00:00,2024-06-05T01:00:00+00:00,68433.56,71031.29,0.2,533.053131,533.053131,0.0,0.0,48,48.0,ledger_equity_segments,0,0,533.053131,533.053131
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00019,BTCUSDT,long,2024-06-05T15:00:00+00:00,2024-06-07T15:00:00+00:00,71594.98,71096.28,0.2,-124.18821,-124.18821,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-124.18821,-124.18821
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00020,BTCUSDT,long,2024-06-10T15:00:00+00:00,2024-06-12T15:00:00+00:00,70083.56,69686.81,0.2,-91.561009,-91.561009,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-91.561009,-91.561009
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00021,BTCUSDT,long,2024-06-17T18:00:00+00:00,2024-06-19T18:00:00+00:00,67084.58,65008.54,0.2,-429.433668,-429.433668,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-429.433668,-429.433668
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00022,BTCUSDT,long,2024-06-30T18:00:00+00:00,2024-07-02T18:00:00+00:00,62047.1,62302.0,0.2,60.182477,60.182477,0.0,0.0,48,48.0,ledger_equity_segments,0,0,60.182477,60.182477
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00023,BTCUSDT,long,2024-08-20T00:00:00+00:00,2024-08-22T00:00:00+00:00,60486.5,60894.59,0.2,91.663376,91.663376,0.0,0.0,48,48.0,ledger_equity_segments,0,0,91.663376,91.663376
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00024,BTCUSDT,long,2024-09-03T02:00:00+00:00,2024-09-05T02:00:00+00:00,59382.87,57713.25,0.2,-357.674757,-357.674757,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-357.674757,-357.674757
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00025,BTCUSDT,long,2024-09-12T01:00:00+00:00,2024-09-14T01:00:00+00:00,58066.55,60341.2,0.2,710.87305,710.87305,0.0,0.0,48,48.0,ledger_equity_segments,0,0,710.87305,710.87305
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00026,BTCUSDT,long,2024-09-17T14:00:00+00:00,2024-09-19T14:00:00+00:00,60202.39,62919.38,0.2,805.213596,805.213596,0.0,0.0,48,48.0,ledger_equity_segments,0,0,805.213596,805.213596
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00027,BTCUSDT,long,2024-09-22T22:00:00+00:00,2024-09-24T22:00:00+00:00,63853.19,64557.07,0.2,173.276512,173.276512,0.0,0.0,48,48.0,ledger_equity_segments,0,0,173.276512,173.276512
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00028,BTCUSDT,long,2024-09-26T15:00:00+00:00,2024-09-28T15:00:00+00:00,65253.13,65558.14,0.2,83.61779,83.61779,0.0,0.0,48,48.0,ledger_equity_segments,0,0,83.61779,83.61779
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00029,BTCUSDT,long,2024-10-07T00:00:00+00:00,2024-10-09T00:00:00+00:00,63411.9,62144.39,0.2,-357.998541,-357.998541,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-357.998541,-357.998541
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00030,BTCUSDT,long,2024-10-14T03:00:00+00:00,2024-10-16T03:00:00+00:00,63955.0,67109.69,0.2,685.482212,685.482212,0.0,0.0,48,48.0,ledger_equity_segments,0,0,685.482212,685.482212
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00031,BTCUSDT,long,2024-10-20T20:00:00+00:00,2024-10-22T20:00:00+00:00,68777.75,67602.02,0.2,-194.390215,-194.390215,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-194.390215,-194.390215
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00032,BTCUSDT,long,2024-10-24T19:00:00+00:00,2024-10-26T19:00:00+00:00,68277.11,67097.3,0.2,-203.77645,-203.77645,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-203.77645,-203.77645
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00033,BTCUSDT,long,2024-10-28T07:00:00+00:00,2024-10-30T07:00:00+00:00,68459.36,72200.0,0.2,618.740723,618.740723,0.0,0.0,48,48.0,ledger_equity_segments,0,0,618.740723,618.740723
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00034,BTCUSDT,long,2024-12-01T21:00:00+00:00,2024-12-03T21:00:00+00:00,97694.4,95918.87,0.2,-285.605328,-285.605328,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-285.605328,-285.605328
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00035,BTCUSDT,long,2024-12-04T19:00:00+00:00,2024-12-06T19:00:00+00:00,97199.77,101581.89,0.2,886.147861,886.147861,0.0,0.0,48,48.0,ledger_equity_segments,0,0,886.147861,886.147861
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00036,BTCUSDT,long,2024-12-15T23:00:00+00:00,2024-12-17T23:00:00+00:00,104334.87,106265.06,0.2,358.757235,358.757235,0.0,0.0,48,48.0,ledger_equity_segments,0,0,358.757235,358.757235
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00037,BTCUSDT,long,2024-12-31T13:00:00+00:00,2025-01-02T13:00:00+00:00,95630.71,96500.0,0.2,173.519205,173.519205,0.0,0.0,48,48.0,ledger_equity_segments,0,0,173.519205,173.519205
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00038,BTCUSDT,long,2025-01-06T02:00:00+00:00,2025-01-08T02:00:00+00:00,98887.23,96926.95,0.2,-269.464245,-269.464245,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-269.464245,-269.464245
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00039,BTCUSDT,long,2025-02-10T13:00:00+00:00,2025-02-12T13:00:00+00:00,98212.44,95021.66,0.2,-474.286508,-474.286508,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-474.286508,-474.286508
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00040,BTCUSDT,long,2025-02-14T17:00:00+00:00,2025-02-16T17:00:00+00:00,98527.73,96882.9,0.2,-266.003237,-266.003237,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-266.003237,-266.003237
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00041,BTCUSDT,long,2025-02-20T02:00:00+00:00,2025-02-22T02:00:00+00:00,97129.77,96234.56,0.2,-136.037955,-136.037955,0.0,0.0,48,48.0,ledger_equity_segments,0,0,-136.037955,-136.037955
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00042,BTCUSDT,long,2025-03-23T11:00:00+00:00,2025-03-25T11:00:00+00:00,84624.71,87367.5,0.2,409.314897,409.314897,0.0,0.0,48,48.0,ledger_equity_segments,0,0,409.314897,409.314897
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00043,BTCUSDT,long,2025-03-31T14:00:00+00:00,2025-04-02T14:00:00+00:00,83556.62,85829.16,0.2,48.284732,48.284732,0.0,0.0,48,48.0,ledger_equity_segments,0,0,48.284732,48.284732
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00044,BTCUSDT,long,2025-04-21T00:00:00+00:00,2025-04-23T00:00:00+00:00,86580.89,92811.48,0.2,470.012851,470.012851,0.0,0.0,48,48.0,ledger_equity_segments,0,0,470.012851,470.012851
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00045,BTCUSDT,long,2025-05-01T09:00:00+00:00,2025-05-03T09:00:00+00:00,95617.13,96240.29,0.2,79.405788,79.405788,0.0,0.0,48,48.0,ledger_equity_segments,0,0,79.405788,79.405788
20260516T133000Z_compression_expansion_eventledger,btc_compression_expansion_breakout_v1,btc_compression_expansion_breakout_v1_segment_00046,BTCUSDT,long,2025-05-06T22:00:00+00:00,2025-05-08T22:00:00+00:00,96219.44,103015.04,0.2,1367.494537,1367.494537,0.0,0.0,48,48.0,ledger_equity_segments,0,0,1367.494537,1367.494537
