event_id,entry_timestamp,trigger_state,context_state,label_horizon,label_timestamp,label_return_bps,future_label_used_for_signal,simulated_order_intent,broker_or_private_endpoint_called
pullback_reclaim_24_dd100_4htrend100_v1_00050,2024-03-20T20:05:00+00:00,"{""prior_high"": 64771.25, ""pullback_depth"": 0.01190729, ""pullback_low"": 64000.0, ""volume_ratio"": 7.27850084}","{""context_interval"": ""15m"", ""feature_time"": ""2024-03-20T20:05:00+00:00"", ""trend_4h"": 0.03510969}",60m,2024-03-20T21:05:00+00:00,71.836672,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00051,2024-03-20T20:30:00+00:00,"{""prior_high"": 64793.89, ""pullback_depth"": 0.01225254, ""pullback_low"": 64000.0, ""volume_ratio"": 3.1470494}","{""context_interval"": ""15m"", ""feature_time"": ""2024-03-20T20:30:00+00:00"", ""trend_4h"": 0.06235688}",60m,2024-03-20T21:30:00+00:00,20.776884,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00052,2024-03-20T20:35:00+00:00,"{""prior_high"": 64793.89, ""pullback_depth"": 0.01225254, ""pullback_low"": 64000.0, ""volume_ratio"": 2.8017532}","{""context_interval"": ""15m"", ""feature_time"": ""2024-03-20T20:35:00+00:00"", ""trend_4h"": 0.06235688}",60m,2024-03-20T21:35:00+00:00,28.182222,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00053,2024-03-21T00:40:00+00:00,"{""prior_high"": 67957.59, ""pullback_depth"": 0.01056674, ""pullback_low"": 67239.5, ""volume_ratio"": 1.65889327}","{""context_interval"": ""15m"", ""feature_time"": ""2024-03-21T00:40:00+00:00"", ""trend_4h"": 0.01187309}",60m,2024-03-21T01:40:00+00:00,-48.929011,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00054,2024-03-23T01:25:00+00:00,"{""prior_high"": 64121.23, ""pullback_depth"": 0.01231386, ""pullback_low"": 63331.65, ""volume_ratio"": 1.39913364}","{""context_interval"": ""15m"", ""feature_time"": ""2024-03-23T01:25:00+00:00"", ""trend_4h"": 0.01131238}",60m,2024-03-23T02:25:00+00:00,-19.794398,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00055,2024-03-23T01:35:00+00:00,"{""prior_high"": 64121.23, ""pullback_depth"": 0.01124776, ""pullback_low"": 63400.01, ""volume_ratio"": 2.09476403}","{""context_interval"": ""15m"", ""feature_time"": ""2024-03-23T01:35:00+00:00"", ""trend_4h"": 0.01489698}",60m,2024-03-23T02:35:00+00:00,-50.491142,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00056,2024-04-05T14:10:00+00:00,"{""prior_high"": 67639.01, ""pullback_depth"": 0.0248747, ""pullback_low"": 65956.51, ""volume_ratio"": 3.87416887}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-05T14:10:00+00:00"", ""trend_4h"": 0.01057753}",60m,2024-04-05T15:10:00+00:00,11.188882,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00057,2024-04-05T14:40:00+00:00,"{""prior_high"": 67337.7, ""pullback_depth"": 0.01795799, ""pullback_low"": 66128.45, ""volume_ratio"": 2.49088764}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-05T14:40:00+00:00"", ""trend_4h"": 0.01185868}",60m,2024-04-05T15:40:00+00:00,-7.803801,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00058,2024-04-05T14:45:00+00:00,"{""prior_high"": 67337.7, ""pullback_depth"": 0.01523188, ""pullback_low"": 66312.02, ""volume_ratio"": 2.25536856}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-05T14:45:00+00:00"", ""trend_4h"": 0.01498018}",60m,2024-04-05T15:45:00+00:00,-81.840949,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00059,2024-04-10T16:50:00+00:00,"{""prior_high"": 69156.2, ""pullback_depth"": 0.01209103, ""pullback_low"": 68320.03, ""volume_ratio"": 10.78085089}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-10T16:50:00+00:00"", ""trend_4h"": 0.01746365}",60m,2024-04-10T17:50:00+00:00,-21.565767,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00060,2024-04-10T17:20:00+00:00,"{""prior_high"": 69156.2, ""pullback_depth"": 0.01169093, ""pullback_low"": 68347.7, ""volume_ratio"": 1.37404029}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-10T17:20:00+00:00"", ""trend_4h"": 0.02199452}",60m,2024-04-10T18:20:00+00:00,-71.538301,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00061,2024-04-10T19:45:00+00:00,"{""prior_high"": 69858.55, ""pullback_depth"": 0.01086152, ""pullback_low"": 69099.78, ""volume_ratio"": 3.51779276}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-10T19:45:00+00:00"", ""trend_4h"": 0.01555681}",60m,2024-04-10T20:45:00+00:00,-10.358602,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00062,2024-04-10T19:50:00+00:00,"{""prior_high"": 69858.55, ""pullback_depth"": 0.01086152, ""pullback_low"": 69099.78, ""volume_ratio"": 3.2642344}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-10T19:50:00+00:00"", ""trend_4h"": 0.01555681}",60m,2024-04-10T20:50:00+00:00,-16.91946,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00063,2024-04-17T00:45:00+00:00,"{""prior_high"": 64884.8, ""pullback_depth"": 0.01832463, ""pullback_low"": 63695.81, ""volume_ratio"": 5.10017923}","{""context_interval"": ""15m"", ""feature_time"": ""2024-04-17T00:45:00+00:00"", ""trend_4h"": 0.01516836}",60m,2024-04-17T01:45:00+00:00,-42.049294,False,long_target_position_replay,False
