sample_index,sample_captured_at,timestamp,ts,symbol,side,level,price,size,liquidation_orders,order_count,source_record_id
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,41,63904.8,1.2,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:41
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,42,63904.7,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:42
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,43,63904.6,30.54,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:43
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,44,63904.5,1.8,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:44
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,45,63904.4,0.2,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:45
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,46,63904.2,10.93,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:46
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,47,63904,0.06,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:47
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,48,63903.9,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:48
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,49,63903.7,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:49
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,50,63903.6,37.83,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:50
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,1,63910.7,656.97,0,39,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:1
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,2,63910.8,140.66,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:2
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,3,63910.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:3
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,4,63911,59.72,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:4
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,5,63911.4,0.33,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:5
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,6,63911.5,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:6
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,7,63911.6,77.36,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:7
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,ask,8,63912,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:ask:8
