timestamp,open_time,symbol,open,high,low,close,volume_contracts,volume_base,volume_quote,confirm,source_record_id
2026-04-29T20:00:00Z,1777492800000,BTCUSDT,75510.5,76063.9,75452.4,75755,1002844.34,10028.4434,759522297.43521,1,okx:BTC-USDT-SWAP:1777492800000
2026-04-30T00:00:00Z,1777507200000,BTCUSDT,75755,76432.3,75454.2,75886,1225874.38,12258.7438,931146938.88465,1,okx:BTC-USDT-SWAP:1777507200000
2026-04-30T04:00:00Z,1777521600000,BTCUSDT,75886.1,76142.9,75276.9,76123.1,953574.73,9535.7473,721824088.46176,1,okx:BTC-USDT-SWAP:1777521600000
2026-04-30T08:00:00Z,1777536000000,BTCUSDT,76123.2,76315.8,75850,76026.4,1006242.75,10062.4275,765213495.11041,1,okx:BTC-USDT-SWAP:1777536000000
2026-04-30T12:00:00Z,1777550400000,BTCUSDT,76026.4,76621,76001,76416.3,2039779.5,20397.795,1556852567.70186,1,okx:BTC-USDT-SWAP:1777550400000
2026-04-30T16:00:00Z,1777564800000,BTCUSDT,76416.3,76465,76063,76357.4,894440.69,8944.4069,682352534.05753,1,okx:BTC-USDT-SWAP:1777564800000
2026-04-30T20:00:00Z,1777579200000,BTCUSDT,76357.3,76544,76169,76312.8,609860.85,6098.6085,465714836.17748,1,okx:BTC-USDT-SWAP:1777579200000
2026-05-01T00:00:00Z,1777593600000,BTCUSDT,76312.9,77426.9,76275.4,77087.3,1448660.4,14486.604,1114466585.39763,1,okx:BTC-USDT-SWAP:1777593600000
2026-05-01T04:00:00Z,1777608000000,BTCUSDT,77087.4,77166,76827.6,77104,878452.23,8784.5223,676687470.97047,1,okx:BTC-USDT-SWAP:1777608000000
2026-05-01T08:00:00Z,1777622400000,BTCUSDT,77103.9,77562.4,77014.1,77419.6,1126964.41,11269.6441,871266313.73027,1,okx:BTC-USDT-SWAP:1777622400000
2026-05-01T12:00:00Z,1777636800000,BTCUSDT,77419.7,78888,77353.5,78400,3604975.41,36049.7541,2820323827.35451,1,okx:BTC-USDT-SWAP:1777636800000
2026-05-01T16:00:00Z,1777651200000,BTCUSDT,78400,78643.9,78090.1,78322.2,968321.56,9683.2156,758695822.15945,1,okx:BTC-USDT-SWAP:1777651200000
2026-05-01T20:00:00Z,1777665600000,BTCUSDT,78322.2,78398.4,77715,78195.4,677253.52,6772.5352,528642978.23358,1,okx:BTC-USDT-SWAP:1777665600000
2026-05-02T00:00:00Z,1777680000000,BTCUSDT,78195.4,78495.3,78116.2,78374,422875.8,4228.758,331140239.95398,1,okx:BTC-USDT-SWAP:1777680000000
2026-05-02T04:00:00Z,1777694400000,BTCUSDT,78374.1,78412.8,78006.3,78186.5,506978.31,5069.7831,396368206.81134,1,okx:BTC-USDT-SWAP:1777694400000
2026-05-02T08:00:00Z,1777708800000,BTCUSDT,78186.5,78370.9,78062.3,78115.4,365324.33,3653.2433,285709870.34168,1,okx:BTC-USDT-SWAP:1777708800000
2026-05-02T12:00:00Z,1777723200000,BTCUSDT,78115.4,78460.7,78074.1,78448,425499.51,4254.9951,333212060.88112,1,okx:BTC-USDT-SWAP:1777723200000
2026-05-02T16:00:00Z,1777737600000,BTCUSDT,78448.1,78569.9,78266.9,78448.9,317935.89,3179.3589,249343110.08639,1,okx:BTC-USDT-SWAP:1777737600000
2026-05-02T20:00:00Z,1777752000000,BTCUSDT,78448.9,79172.9,78370.6,78656,673463.52,6734.6352,530589403.3197,1,okx:BTC-USDT-SWAP:1777752000000
2026-05-03T00:00:00Z,1777766400000,BTCUSDT,78655.9,78728,78050.2,78163.8,727340.8,7273.408,569296517.03147,1,okx:BTC-USDT-SWAP:1777766400000
2026-05-03T04:00:00Z,1777780800000,BTCUSDT,78163.7,78406.8,78011.7,78317.6,485609.26,4856.0926,379863481.38385,1,okx:BTC-USDT-SWAP:1777780800000
2026-05-03T08:00:00Z,1777795200000,BTCUSDT,78317.6,78833,78300.1,78620.5,626295.04,6262.9504,491789863.82234,1,okx:BTC-USDT-SWAP:1777795200000
2026-05-03T12:00:00Z,1777809600000,BTCUSDT,78620.5,78863.8,78540.9,78632.2,585050.89,5850.5089,460352485.95764,1,okx:BTC-USDT-SWAP:1777809600000
